Tracker,Game_Date,Home_Team,Away_Team,Quarter,Game_Clock,Shot_Clock,Home_Strength,Away_Strength,Team,Event_Type,State,Player1,Location1_x,Location1_y,Net_Location,Shot_Angle,Result,Empty_Net,Goalie_Response,Shot_Type,Primary_Assist,Secondary_Assist,Rebound_Type,Rebound,Shot_Blocker,FO_Home,FO_Away,FO_Result,FO_Winning_Team,Turnover_Type,Home_Goalie,Away_Goalie,Min,Sec,Time_Stamp,Game,Season,Player1_Name,Primary_Assist_Name,Secondary_Assist_Name,FO_Home_Name,FO_Away_Name,Home_Goalie_Name,Away_Goalie_Name,Rebound_Team,Rebound_Name,Shot_Blocking_Team,Shot_Blocker_Name,Competition
Eddy,4/21/24,Ireland,Finland,1,20:51,6,5,5,Finland,Turnover,Set,19,0.390504747,0.633413453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,20,51,-351,4-21 Finland vs Ireland,2023,Ja. Aaltonen,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,24:43:00,8,5,5,Finland,Shot,Set,5,0.881777237,0.443379966,Crossbar,196.6932269,Miss,No,Not On Net,Movement,NA,NA,Offensive,15,NA,NA,NA,NA,NA,NA,0,44,24,0,360,4-21 Finland vs Ireland,2023,R. Jokela,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,Ju. Aaltonen,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,24:55:00,22,5,5,Finland,Turnover,Set,5,0.881074415,0.025022661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrupted Pass,0,44,24,0,360,4-21 Finland vs Ireland,2023,R. Jokela,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,26:04:00,17,5,4,Ireland,Shot,Set,27,0.163493282,0.641922415,Right Leg,226.8046853,Goal,No,none,Assisted,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,26,0,240,4-21 Finland vs Ireland,2023,B. Gillis,P. Corbett,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,26:59:00,17,5,5,Ireland,Turnover,Set,76,0.013792223,0.344108741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrupted Pass,0,44,26,0,240,4-21 Finland vs Ireland,2023,L. Coppinger,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,27:26:00,6,5,5,Finland,Shot,Set,9,0.747538259,0.349781382,Under Left Arm,297.0808432,Goal,No,none,Movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,27,0,180,4-21 Finland vs Ireland,2023,J. Wiren,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,28:43:00,7,5,5,Ireland,Shot,Set,24,0.05385307,0.351199543,Left Shoulder,165.9694313,Miss,No,Not Clean,Assisted,79,NA,Offensive,24,NA,NA,NA,NA,NA,NA,0,44,28,0,120,4-21 Finland vs Ireland,2023,P. Corbett,J. Harrington,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,P. Corbett,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,28:58:00,20,5,5,Ireland,Shot,Set,79,0.20425695,0.454725248,Left Leg,252.5459596,Miss,No,Not Clean,Movement,NA,NA,Defensive,44,NA,NA,NA,NA,NA,NA,0,44,28,0,120,4-21 Finland vs Ireland,2023,J. Harrington,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,L. Uusitalo,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,29:26:00,7,5,5,Finland,Shot,Set,5,0.829065596,0.46039789,Left Miss,196.4695899,Miss,No,Not On Net,Movement,NA,NA,Defensive,20,NA,NA,NA,NA,NA,NA,0,44,29,0,60,4-21 Finland vs Ireland,2023,R. Jokela,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,D. O'Keefe,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,29:48:00,21,5,5,Ireland,Shot,Set,17,0.228152894,0.630577132,Right Leg,226.8309653,Miss,No,Not Clean,Movement,NA,NA,Defensive,12,NA,NA,NA,NA,NA,NA,0,44,29,0,60,4-21 Finland vs Ireland,2023,B. Farrell,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,E. Seraste,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,31:00:00,15,5,5,Ireland,Shot,Set,27,0.187389226,0.511451663,Right Leg,238.09337,Miss,No,Not Clean,Assisted,87,NA,Defensive,20,NA,NA,NA,NA,NA,NA,0,44,31,0,-60,4-21 Finland vs Ireland,2023,B. Gillis,B. O'Sullivan,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,B. Lindström,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,31:07:00,25,5,5,Finland,Turnover,Transition,20,0.032065591,0.034949784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ball Lost,0,44,31,0,-60,4-21 Finland vs Ireland,2023,B. Lindström,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,31:19:00,20,5,5,Ireland,Shot,Set,87,0.174738432,0.322836335,Right Miss,67.85959406,Miss,No,Not On Net,Movement,NA,NA,Defensive,11,NA,NA,NA,NA,NA,NA,0,44,31,0,-60,4-21 Finland vs Ireland,2023,B. O'Sullivan,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,H. Haarala,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,2,31:43:00,13,5,5,Finland,Shot,Set,15,0.847338965,0.517124304,Left Leg,153.2728815,Miss,No,Clean Save,Assisted,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,31,0,-60,4-21 Finland vs Ireland,2023,Ju. Aaltonen,R. Jokela,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
